fecha,cultivo,precio_s_ton,temperatura,precipitacion_mm,costo_transporte,nivel_plaga
2019-01-01,Arroz,764.83,28.9,25.7,129.2,2
2019-01-01,Arroz,1265.96,26.3,25.7,134.9,0
2019-01-01,Arroz,999.59,29.1,53.8,116.4,2
2019-01-01,Arroz,929.12,30.1,17.9,115.0,0
2019-01-01,Arroz,1224.34,27.7,58.6,112.9,1
2019-01-01,Arroz,917.79,29.5,27.4,114.2,1
2019-01-01,Maiz,751.58,30.5,26.3,136.8,2
2019-01-01,Maiz,677.37,26.8,37.5,113.2,2
2019-01-01,Maiz,536.13,27.9,37.0,112.0,2
2019-01-01,Maiz,648.34,29.2,40.7,118.3,0
2019-01-01,Maiz,712.74,26.7,21.0,116.3,2
2019-01-01,Maiz,573.63,26.9,27.1,121.0,2
2019-01-01,Cebolla,648.12,25.9,25.9,117.4,0
2019-01-01,Cebolla,862.39,28.6,27.5,114.3,1
2019-01-01,Cebolla,1334.89,30.8,35.7,120.2,1
2019-01-01,Cebolla,407.43,31.0,23.0,111.1,1
2019-01-01,Cebolla,780.7,30.7,48.4,125.6,2
2019-01-01,Cebolla,469.21,27.0,24.3,110.9,1
2019-01-01,Esparrago,1911.59,28.7,49.9,130.0,2
2019-01-01,Esparrago,1962.43,31.4,27.5,127.9,2
2019-01-01,Esparrago,1646.02,30.3,30.2,118.4,1
2019-01-01,Esparrago,2460.0,27.0,37.5,116.2,0
2019-01-01,Esparrago,2957.09,26.7,39.7,130.9,2
2019-01-01,Esparrago,1665.94,27.6,54.0,124.4,1
2019-02-01,Arroz,935.91,31.1,52.5,120.6,2
2019-02-01,Arroz,944.05,31.1,55.0,114.3,2
2019-02-01,Arroz,1175.33,30.3,46.6,120.9,2
2019-02-01,Arroz,1121.96,26.4,31.1,118.1,1
2019-02-01,Arroz,971.93,29.3,33.8,110.8,1
2019-02-01,Arroz,1055.7,28.9,34.2,110,2
2019-02-01,Maiz,681.61,28.2,38.4,126.1,2
2019-02-01,Maiz,744.87,29.9,24.1,114.3,2
2019-02-01,Maiz,594.03,28.0,49.9,116.7,1
2019-02-01,Maiz,759.7,30.7,42.3,115.0,2
2019-02-01,Maiz,499.71,26.4,51.1,123.0,1
2019-02-01,Maiz,707.86,30.1,35.3,116.9,1
2019-02-01,Cebolla,671.76,26.1,53.9,131.3,2
2019-02-01,Cebolla,274.11,27.1,24.1,126.1,2
2019-02-01,Cebolla,1002.02,26.9,24.7,110,1
2019-02-01,Cebolla,390.24,30.3,50.2,114.5,2
2019-02-01,Cebolla,1098.28,27.2,22.6,115.7,1
2019-02-01,Cebolla,981.5,30.6,19.6,137.5,0
2019-02-01,Esparrago,2743.67,28.9,32.9,119.8,2
2019-02-01,Esparrago,2247.63,28.8,28.4,125.3,2
2019-02-01,Esparrago,1631.2,29.1,45.2,119.9,2
2019-02-01,Esparrago,2662.08,29.7,20.5,124.2,2
2019-02-01,Esparrago,1986.08,28.4,38.3,126.9,2
2019-02-01,Esparrago,3251.57,26.7,26.8,123.2,2
2019-03-01,Arroz,890.53,24.6,27.8,114.0,1
2019-03-01,Arroz,861.14,29.6,58.4,119.4,1
2019-03-01,Arroz,963.24,31.1,42.5,113.3,2
2019-03-01,Arroz,770.14,29.6,26.2,120.2,1
2019-03-01,Arroz,1050.42,27.0,37.0,117.0,2
2019-03-01,Arroz,830.14,31.0,22.5,119.5,2
2019-03-01,Maiz,975.29,30.2,34.4,122.1,0
2019-03-01,Maiz,720.74,27.4,37.8,116.5,1
2019-03-01,Maiz,597.87,29.9,28.2,131.4,2
2019-03-01,Maiz,713.77,28.5,23.6,127.2,2
2019-03-01,Maiz,990.58,30.9,24.2,117.4,0
2019-03-01,Maiz,614.39,29.4,52.6,125.4,2
2019-03-01,Cebolla,937.41,27.8,52.9,111.2,2
2019-03-01,Cebolla,896.78,28.3,25.0,118.4,1
2019-03-01,Cebolla,903.57,29.8,42.4,120.5,2
2019-03-01,Cebolla,773.79,28.5,36.4,117.7,2
2019-03-01,Cebolla,1055.96,30.0,19.8,127.6,2
2019-03-01,Cebolla,414.28,28.8,17.4,135.5,1
2019-03-01,Esparrago,2079.86,30.4,59.9,110,1
2019-03-01,Esparrago,2329.67,27.2,36.0,122.0,1
2019-03-01,Esparrago,2974.15,30.8,40.5,118.1,0
2019-03-01,Esparrago,2753.68,27.2,46.4,121.3,2
2019-03-01,Esparrago,2774.37,26.4,26.8,125.6,2
2019-03-01,Esparrago,3132.19,30.6,62.2,127.7,2
2019-04-01,Arroz,651.5,23.7,11.7,124.0,2
2019-04-01,Arroz,778.23,22.7,7.6,118.6,2
2019-04-01,Arroz,1002.82,24.7,15.0,112.8,0
2019-04-01,Arroz,864.61,26.2,13.1,118.8,1
2019-04-01,Arroz,1166.67,24.9,8.9,130.5,0
2019-04-01,Arroz,1078.03,27.3,3.9,117.3,0
2019-04-01,Maiz,683.19,22.6,10.4,127.5,1
2019-04-01,Maiz,797.83,24.6,19.2,139.4,0
2019-04-01,Maiz,628.07,24.1,11.2,127.4,2
2019-04-01,Maiz,703.78,24.5,5.1,118.1,0
2019-04-01,Maiz,781.06,24.9,3.9,115.7,0
2019-04-01,Maiz,829.52,22.3,11.7,115.6,1
